n vDP tDP vGreedy tGreedy %
10000 10005 0.021000 10000 0.074000 99.95
20000 20002 0.080000 20000 0.273000 99.99
30000 60000 0.183000 60000 0.633000 100.00
40000 40000 0.315000 40000 1.104000 100.00
50000 50000 0.493000 50000 1.723000 100.00
60000 60000 0.694000 60000 2.467000 100.00
70000 70000 0.954000 70000 3.360000 100.00
80000 80000 1.247000 80000 4.389000 100.00
90000 135000 1.606000 90000 5.554000 66.67
100000 100000 1.932000 100000 6.849000 100.00
