n vDP tDP vGreedy tGreedy %
500 750 0.000000 500 0.001000 66.67
2000 6000 0.000000 6000 0.004000 100.00
3500 4375 0.002000 3500 0.009000 80.00
5000 5416 0.003000 5000 0.018000 92.32
6500 6517 0.006000 6500 0.033000 99.74
8000 8010 0.013000 8000 0.047000 99.88
9500 11875 0.016000 9500 0.068000 80.00
11000 16500 0.024000 11000 0.084000 66.67
12500 25000 0.031000 25000 0.109000 100.00
14000 28000 0.041000 28000 0.133000 100.00
15500 15508 0.049000 15500 0.165000 99.95
17000 51000 0.058000 51000 0.199000 100.00
18500 37000 0.068000 37000 0.238000 100.00
20000 20000 0.080000 20000 0.275000 100.00
