n vDP tDP vGreedy tGreedy %
5000 6176 0.004000 5000 0.019000 80.96
10000 10011 0.020000 10000 0.071000 99.89
15000 15006 0.047000 15000 0.155000 99.96
20000 120000 0.079000 120000 0.283000 100.00
25000 25000 0.124000 25000 0.433000 100.00
30000 30003 0.175000 30000 0.619000 99.99
35000 38750 0.242000 35000 0.849000 90.32
40000 50000 0.314000 40000 1.108000 80.00
45000 81000 0.402000 45000 1.383000 55.56
50000 50000 0.487000 50000 1.709000 100.00
