n vDP tDP vGreedy tGreedy %
1000 2000 0.001000 2000 0.001000 100.00
2000 6000 0.004000 6000 0.007000 100.00
3000 4000 0.008000 3000 0.017000 75.00
4000 4016 0.014000 4000 0.028000 99.60
5000 7304 0.021000 5000 0.045000 68.46
6000 7712 0.031000 6000 0.064000 77.80
7000 9333 0.040000 7000 0.090000 75.00
8000 28000 0.055000 28000 0.056000 100.00
9000 9946 0.067000 9000 0.136000 90.49
10000 20000 0.082000 20000 0.183000 100.00
11000 18117 0.098000 11000 0.218000 60.72
12000 13000 0.121000 12000 0.261000 92.31
13000 14443 0.135000 13000 0.297000 90.01
14000 21000 0.151000 14000 0.365000 66.67
15000 30000 0.198000 30000 0.406000 100.00
16000 16006 0.209000 16000 0.463000 99.96
17000 27625 0.241000 17000 0.521000 61.54
18000 18003 0.264000 18000 0.593000 99.98
19000 38000 0.293000 38000 0.316000 100.00
20000 33332 0.324000 20000 0.720000 60.00
